"","...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","...64","...65","...66","...67","...68","...69"
"27","2008 Q4",60380000,60380000,60445950,60445950,60445950,60445950,60523820,60503820,75708941,75712412,75709421,75709421,75709421,75709421,75709421,75709421,75709421,75709421,75709421,75709421,75709421,75709421,75709421,75709421,75709421,75709421,75709421,75709421,75709421,75709421,75709421,75709421,75709421,75709421,75709421,75709421,75709421,75709421,75709421,75709421,75709421,75709421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2009 Q1",0,39228385,39228385,39271137,39271137,39271137,39271137,45307387,45352987,45352987,45352987,45352987,45352987,45352987,45352987,45352987,45352987,45352987,45352987,45352987,45352987,45352987,45352987,45352987,45352987,45352987,45352987,45352987,45352987,45352987,45352987,45352987,45352987,45352987,45352987,45352987,45352987,45352987,45352987,45352987,45352987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2009 Q2",30100000,30519820,0,0,0,0,0,30020000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2009 Q3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2009 Q4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,43576735,44168735,44843935,44843935,44843935,44843935,44843935,44843935,44843935,44843935,44843935,44843935,44843935,44843935,44843935,44843935,44843935,44843935,44843935,44843935,44843935,44843935,44843935,44843935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2010 Q1",30100000,30260561,60520021,60520021,60520021,60520021,60520020,60520020,60520020,60520020,60520020,30364351,61100976,61100976,30364351,30364351,30364351,30364351,30364351,30364351,30364351,30364351,30364351,30364351,30364351,30364351,30364351,30364351,30364351,30364351,30364351,30364351,30364351,30364351,30364351,30364351,30364351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2010 Q2",30139757,60159757,60201449,60242041,60452041,60452041,30082692,30082692,30082692,30082692,30082692,30082692,30082692,30082692,30082692,30082692,30082692,30082692,30082692,30082692,30082692,30082692,30082692,30082692,30082692,30082692,30082692,30082692,30082692,30082692,30082692,30082692,30082692,30082692,30082692,30082692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2010 Q3",60897942,30797942,64549444,106756847,114635645,114676007,106307813,118138098,118232598,118232598,106232598,106329596,106329596,106329596,106329596,106329596,106329596,106329596,106329596,106329596,106329596,106329596,106329596,106329596,106329596,106329596,106329596,106329596,106329596,106329596,106329596,106329596,106329596,106329596,106329596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2010 Q4",30020000,70970547,71360497,71800684,71263468,40936921,40216589,0,0,30297970,30297970,30297970,30371469,30371469,30371469,30371469,30371469,30371469,30371469,30371469,30823167,0,30067542,30067542,30067542,30067542,30067542,30067542,30067542,30067542,30067542,30067542,30067542,30067542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2011 Q1",30020000,30020000,30020000,30020000,30020000,30089544,30089544,30089544,30089544,30089544,30089544,30089544,30089544,30089544,30089544,30089544,30089544,30089544,30089544,30089544,30089544,30089544,30089544,30089544,30089544,30089544,30089544,30089544,30089544,30089544,30089544,30089544,30089544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
